wk_id,brownweights,brown1,brown0_3,brown0_5,total_employees,state,election_year,brownness_share,brown1_share,brown0_3_share,brown0_5_share
20,1480.35446624561,782.379894570716,2002.73246536295,1188.72907904157,57957.7908797885,2,2013,0.0255419408465041,0.0134991324323156,0.0345550172800212,0.0205102551528773
21,3444.18325642246,1819.9077142187,4659.89908659164,2765.97113628496,134772.36900545,2,2013,0.0255555592132033,0.0135035669970683,0.0345760716456889,0.0205232805262414
22,2321.88055803776,1226.93257155859,3141.3847974266,1864.58693214391,90885.1923833442,2,2013,0.0255474021361402,0.0134998071675254,0.0345643191706804,0.0205158495377253
23,9470.37481207852,5004.57264982863,12812.6113682805,7605.11261570929,370771.666919589,2,2013,0.025542336853189,0.0134977213642217,0.0345566085853568,0.0205115797517469
24,4602.42754579107,938.467265620885,6511.23939581538,3607.68450508503,82468.8168600869,3,2013,0.0558080947565836,0.0113796620510883,0.0789539567041694,0.0437460441709218
25,7395.97759091378,3223.96685452035,11321.9352083872,6682.27979186194,103484.77967032,3,2013,0.0714692306876021,0.0311540196035708,0.10940676729908,0.064572585583602
26,3469.59433189388,1532.00974079417,5368.07115565541,2803.62744713321,67368.4180416917,3,2013,0.0515017931658523,0.0227407706062812,0.0796823097780524,0.0416163467783695
27,4180.79246856584,2297.50167175922,5316.81548806091,3320.2884806785,113588.598015852,3,2013,0.0368064448509381,0.0202265166741347,0.0468076513042173,0.029230825440905
28,5389.01464497634,2273.43026032519,8046.13199311704,4845.74935977379,78899.6679916547,3,2013,0.0683021206825148,0.0288141929895782,0.101979288353509,0.0614166001343166
29,4390.99974792726,2218.82310454435,6151.22132336199,4114.68208364596,74226.6193986638,4,2013,0.0591566716024562,0.0298925523285288,0.0828708268434589,0.0554340493610037
30,4251.92942753461,2069.22782884306,6322.91844969187,4520.98496371696,64803.8370665769,3,2013,0.0656123097026855,0.031930637482426,0.0975701244850048,0.0697641554630829
31,8715.22766485276,4344.5756525569,12786.3727821061,7613.96094755743,100202.788408485,5,2013,0.0869758996059509,0.0433578318683694,0.127604959754027,0.0759855196495975
32,13875.0229927283,7573.73553634784,18580.6882026857,11944.3002267926,116023.632876708,3,2013,0.119587903332354,0.0652775244884463,0.16014571981581,0.102947131809647
33,5366.62211268434,2725.76076187511,8006.56867531393,4514.53782145639,76072.4451997582,4,2013,0.0705462023547705,0.0358311180180623,0.105249261467664,0.0593452439921142
34,3248.37861082139,1282.39320297417,5183.70270555938,2770.683791479,67854.7492872363,4,2013,0.0478725313252675,0.0188990927893001,0.076394102992205,0.0408325698728972
35,4358.77170282029,2300.79690025046,6112.08545446974,4313.66158380501,64338.3216443541,3,2013,0.0677476749691184,0.0357609095395538,0.0949991435626158,0.0670465357745861
36,1700.01950803657,465.963910815535,2561.66423154773,1512.47260965712,54789.758530041,2,2013,0.0310280525712566,0.00850458047848575,0.0467544355053723,0.0276050241912972
37,4035.18202574313,2531.89883380327,5402.83375243843,3625.34098181914,65447.2623739708,15,2013,0.0616554746428625,0.0386860923125524,0.082552478995473,0.0553933174638178
38,10141.3025717393,5860.1829587359,13889.4222444499,8362.98952135648,95510.1769559277,3,2013,0.10618033486022,0.0613566338741057,0.145423479330993,0.0875612399421635
39,1293.65349048143,729.93606850709,1766.92509022067,1053.18364636145,14978.7422272485,3,2013,0.0863659625658077,0.0487314660625664,0.117962180229418,0.0703118880332658
40,4091.4163526723,1869.88049438743,6038.10675089229,3467.30236482602,64029.662276985,3,2013,0.0638987651531457,0.0292033477593329,0.0943017116781302,0.0541515016872472
41,755.974810050479,364.958141332893,1054.7181370063,580.371996908776,22206.2846444515,3,2013,0.0340432819877127,0.0164349033247253,0.0474963801416383,0.0261354839947883
42,657.76876189093,317.547703408957,917.703386275813,504.977897103954,19321.5437374205,3,2013,0.0340432819877127,0.0164349033247253,0.0474963801416383,0.0261354839947883
