county,year,hh_income_vgrdl
3241,2011,19211
3241,2012,19616
3241,2013,19651
3241,2014,20032
3241,2015,20363
3241,2016,20733
3241,2017,21192
3241,2018,21967
3241,2019,22325
3241,2020,22785
3251,2001,16491
3251,2002,16263
3251,2003,16742
3251,2004,16970
3251,2005,17322
3251,2006,17673
3251,2007,17853
3251,2008,18429
3251,2009,18546
3251,2010,19052
3251,2011,19954
3251,2012,20472
3251,2013,20834
3251,2014,21517
3251,2015,21811
3251,2016,22254
3251,2017,23090
3251,2018,23959
3251,2019,24495
3251,2020,24516
3252,2001,15875
3252,2002,15803
3252,2003,16113
3252,2004,16127
3252,2005,16459
3252,2006,16878
3252,2007,17136
3252,2008,17618
3252,2009,17787
3252,2010,18212
3252,2011,18906
3252,2012,19497
3252,2013,19674
3252,2014,19950
3252,2015,20318
3252,2016,20843
3252,2017,21559
3252,2018,22334
3252,2019,22691
3252,2020,23097
3254,2001,15841
3254,2002,15804
3254,2003,16116
3254,2004,16161
3254,2005,16412
3254,2006,16720
3254,2007,16871
3254,2008,17270
3254,2009,17429
3254,2010,17763
3254,2011,18355
3254,2012,18858
3254,2013,18964
3254,2014,19473
3254,2015,19846
3254,2016,20392
3254,2017,20854
3254,2018,21611
3254,2019,22177
3254,2020,22603
3255,2001,15568
3255,2002,15386
3255,2003,15600
3255,2004,15513
3255,2005,15891
3255,2006,16284
3255,2007,16492
3255,2008,17045
3255,2009,17262
3255,2010,17671
3255,2011,18275
3255,2012,18783
3255,2013,18886
3255,2014,19239
3255,2015,19772
3255,2016,20061
3255,2017,20535
3255,2018,21448
3255,2019,22013
3255,2020,22406
3256,2001,14988
3256,2002,14844
3256,2003,15281
3256,2004,15460
3256,2005,15658
3256,2006,15962
3256,2007,16135
3256,2008,16685
3256,2009,16861
3256,2010,17366
3256,2011,18101
3256,2012,18563
3256,2013,19046
3256,2014,19423
3256,2015,19839
3256,2016,20057
3256,2017,20835
3256,2018,21324
3256,2019,22123
3256,2020,22337
3257,2001,16294
3257,2002,16094
3257,2003,16438
3257,2004,16296
3257,2005,16619
3257,2006,16902
3257,2007,17013
3257,2008,17483
3257,2009,17741
3257,2010,18084
3257,2011,18764
3257,2012,19348
3257,2013,19638
3257,2014,20062
3257,2015,20356
3257,2016,20825
3257,2017,21423
3257,2018,22409
3257,2019,22827
3257,2020,23118
3351,2001,15171
3351,2002,14522
3351,2003,14235
3351,2004,13943
3351,2005,14462
3351,2006,15261
3351,2007,16318
3351,2008,16773
3351,2009,16930
3351,2010,17267
3351,2011,17933
3351,2012,18459
3351,2013,18804
3351,2014,19189
3351,2015,19415
3351,2016,19981
3351,2017,20372
3351,2018,21101
3351,2019,21812
3351,2020,22096
3352,2001,15028
3352,2002,14822
3352,2003,15188
3352,2004,15329
3352,2005,15784
3352,2006,16321
3352,2007,16704
3352,2008,17313
3352,2009,17462
3352,2010,17973
3352,2011,18715
3352,2012,19164
3352,2013,19456
3352,2014,19900
3352,2015,20245
3352,2016,20829
3352,2017,21954
3352,2018,22255
3352,2019,22819
3352,2020,23038
3353,2001,19023
3353,2002,19095
3353,2003,19892
3353,2004,20112
3353,2005,20631
3353,2006,20994
3353,2007,20996
3353,2008,21333
3353,2009,21564
3353,2010,21797
3353,2011,22337
3353,2012,22738
3353,2013,23159
3353,2014,23476
3353,2015,23852
3353,2016,24324
3353,2017,25051
3353,2018,26113
3353,2019,26483
3353,2020,26595
3354,2001,14088
3354,2002,14092
3354,2003,14553
3354,2004,14832
3354,2005,15188
3354,2006,15657
3354,2007,15976
3354,2008,16473
3354,2009,16302
3354,2010,16677
3354,2011,17471
3354,2012,17909
3354,2013,18282
3354,2014,18724
3354,2015,18938
3354,2016,19285
3354,2017,20380
3354,2018,21252
3354,2019,21792
3354,2020,22084
3355,2001,15157
3355,2002,15170
3355,2003,15584
3355,2004,15695
3355,2005,15969
3355,2006,16267
3355,2007,16395
3355,2008,16901
3355,2009,17152
3355,2010,17626
3355,2011,18136
3355,2012,18488
3355,2013,18713
3355,2014,19536
3355,2015,19495
3355,2016,20206
3355,2017,20932
3355,2018,21617
3355,2019,22041
3355,2020,22307
3356,2001,16421
3356,2002,16305
3356,2003,16723
3356,2004,16717
3356,2005,17077
3356,2006,17551
3356,2007,17736
3356,2008,18104
3356,2009,18285
3356,2010,18724
3356,2011,19344
3356,2012,19783
3356,2013,20228
3356,2014,20672
3356,2015,21011
3356,2016,21700
3356,2017,22600
3356,2018,23487
3356,2019,24082
3356,2020,24269
3357,2001,15303
3357,2002,15043
3357,2003,15399
3357,2004,15590
3357,2005,16095
3357,2006,16605
3357,2007,16931
3357,2008,17415
3357,2009,17494
3357,2010,17927
3357,2011,18873
3357,2012,19525
3357,2013,20050
3357,2014,20445
3357,2015,20848
3357,2016,21338
3357,2017,22246
3357,2018,23172
3357,2019,23845
3357,2020,23824
3358,2001,15032
3358,2002,14995
3358,2003,15390
3358,2004,15493
3358,2005,15744
3358,2006,16115
3358,2007,16294
3358,2008,16766
3358,2009,16947
3358,2010,17397
3358,2011,18109
3358,2012,18632
3358,2013,18984
3358,2014,19419
3358,2015,19590
3358,2016,20027
3358,2017,20786
3358,2018,21586
3358,2019,21926
3358,2020,22157
3359,2001,16571
3359,2002,16452
3359,2003,16849
3359,2004,16990
3359,2005,17437
3359,2006,17887
3359,2007,18156
3359,2008,18568
3359,2009,18669
3359,2010,19134
3359,2011,19764
3359,2012,20128
3359,2013,20521
3359,2014,20964
3359,2015,21303
3359,2016,21795
3359,2017,22564
3359,2018,23484
3359,2019,24033
3359,2020,24293
3360,2001,14746
3360,2002,14622
3360,2003,15010
3360,2004,15166
3360,2005,15367
3360,2006,15659
3360,2007,15880
3360,2008,16584
3360,2009,16755
3360,2010,17277
3360,2011,18148
3360,2012,18670
3360,2013,19276
3360,2014,19445
3360,2015,19518
3360,2016,19845
3360,2017,20700
3360,2018,21492
3360,2019,22382
3360,2020,22580
3361,2001,17283
3361,2002,17050
3361,2003,17567
3361,2004,17518
3361,2005,18133
3361,2006,18739
3361,2007,19036
3361,2008,19492
3361,2009,19765
3361,2010,19972
3361,2011,20659
3361,2012,21165
3361,2013,21462
3361,2014,21774
3361,2015,21920
3361,2016,22574
3361,2017,23059
3361,2018,24288
3361,2019,24672
3361,2020,24722
3401,2001,15326
3401,2002,15497
3401,2003,15790
3401,2004,15706
3401,2005,16027
3401,2006,16286
3401,2007,16381
3401,2008,16721
3401,2009,16870
3401,2010,17084
3401,2011,17386
3401,2012,17596
3401,2013,17751
3401,2014,18056
3401,2015,18378
3401,2016,18450
3401,2017,18886
3401,2018,19502
3401,2019,19755
3401,2020,20168
3402,2001,14446
3402,2002,14528
3402,2003,15029
3402,2004,15126
3402,2005,15265
3402,2006,15372
3402,2007,15432
3402,2008,15879
3402,2009,16187
3402,2010,16447
3402,2011,16764
3402,2012,16999
3402,2013,17198
3402,2014,17525
3402,2015,17660
3402,2016,17839
3402,2017,18301
3402,2018,18737
3402,2019,19340
3402,2020,19850
3403,2001,14773
3403,2002,14969
3403,2003,15449
3403,2004,15549
3403,2005,16024
3403,2006,16551
3403,2007,16713
3403,2008,17024
3403,2009,17246
3403,2010,17463
3403,2011,17719
3403,2012,17929
3403,2013,18001
3403,2014,18373
3403,2015,18824
3403,2016,19209
3403,2017,19747
3403,2018,20775
3403,2019,21000
3403,2020,21234
3404,2001,15686
3404,2002,15898
3404,2003,16523
3404,2004,16692
3404,2005,17138
3404,2006,17576
3404,2007,17674
3404,2008,18115
3404,2009,18413
3404,2010,18601
3404,2011,19082
3404,2012,19459
3404,2013,19678
3404,2014,19742
3404,2015,19940
3404,2016,20431
3404,2017,20792
3404,2018,21833
3404,2019,21795
3404,2020,22019
3405,2001,13870
3405,2002,14025
3405,2003,14276
3405,2004,14291
3405,2005,14654
3405,2006,15012
3405,2007,15220
3405,2008,15526
3405,2009,15540
3405,2010,15581
3405,2011,15902
3405,2012,16373
3405,2013,16567
3405,2014,16949
3405,2015,17392
3405,2016,17676
3405,2017,18061
3405,2018,18654
3405,2019,19076
3405,2020,19581
3451,2001,15701
3451,2002,15472
3451,2003,15955
3451,2004,16009
3451,2005,16644
3451,2006,17226
3451,2007,17567
3451,2008,18039
3451,2009,18166
3451,2010,18523
3451,2011,19282
3451,2012,19697
3451,2013,19935
3451,2014,20467
3451,2015,20756
3451,2016,21269
3451,2017,21974
3451,2018,23008
3451,2019,23520
3451,2020,23338
3452,2001,13755
3452,2002,13564
3452,2003,13858
3452,2004,13868
3452,2005,14279
3452,2006,14764
3452,2007,15049
3452,2008,15571
3452,2009,15875
3452,2010,16235
3452,2011,17340
3452,2012,18268
3452,2013,17868
3452,2014,18488
3452,2015,19018
3452,2016,19417
3452,2017,20127
3452,2018,20915
3452,2019,21539
3452,2020,21756
3453,2001,14157
3453,2002,13946
3453,2003,14375
3453,2004,14546
3453,2005,14843
3453,2006,15265
3453,2007,15522
3453,2008,16221
3453,2009,16322
3453,2010,16949
3453,2011,17827
3453,2012,18139
3453,2013,18650
3453,2014,19357
3453,2015,19393
3453,2016,20011
3453,2017,21238
3453,2018,21755
3453,2019,22731
3453,2020,22248
3454,2001,14033
3454,2002,13823
3454,2003,14197
3454,2004,14320
3454,2005,14863
3454,2006,15488
3454,2007,15930
3454,2008,16405
3454,2009,16548
3454,2010,16957
3454,2011,17907
3454,2012,18420
3454,2013,18868
3454,2014,19532
3454,2015,20167
3454,2016,20508
3454,2017,21437
3454,2018,22445
3454,2019,23224
3454,2020,23100
3455,2001,14504
3455,2002,14343
3455,2003,14647
3455,2004,14735
3455,2005,15012
3455,2006,15397
3455,2007,15570
3455,2008,16199
3455,2009,16392
3455,2010,16854
3455,2011,17618
3455,2012,18255
3455,2013,18682
3455,2014,19096
3455,2015,19420
3455,2016,19871
3455,2017,20773
3455,2018,21503
3455,2019,22286
3455,2020,22470
3456,2001,14342
3456,2002,14000
3456,2003,14287
3456,2004,14271
3456,2005,14576
3456,2006,14981
3456,2007,15223
3456,2008,15714
3456,2009,15786
3456,2010,16227
3456,2011,17035
3456,2012,17568
3456,2013,17990
3456,2014,18487
3456,2015,18756
3456,2016,19261
3456,2017,20152
3456,2018,21090
3456,2019,21955
3456,2020,21985
3457,2001,13416
3457,2002,13294
3457,2003,13657
3457,2004,13780
3457,2005,14257
3457,2006,14814
3457,2007,15205
3457,2008,15555
3457,2009,15492
3457,2010,15618
3457,2011,16245
3457,2012,16781
3457,2013,17055
3457,2014,17576
3457,2015,18099
3457,2016,18591
3457,2017,19299
3457,2018,20117
3457,2019,20824
3457,2020,21018
3458,2001,15715
3458,2002,15500
3458,2003,16039
3458,2004,16233
3458,2005,16661
3458,2006,17148
3458,2007,17427
3458,2008,18114
3458,2009,18372
3458,2010,18853
3458,2011,19775
3458,2012,20388
3458,2013,20751
3458,2014,21450
3458,2015,21472
3458,2016,22193
3458,2017,22916
3458,2018,23753
3458,2019,24562
3458,2020,24516
3459,2001,15879
3459,2002,15820
3459,2003,16382
3459,2004,16507
3459,2005,16946
3459,2006,17437
3459,2007,17692
3459,2008,18062
3459,2009,18224
3459,2010,18536
3459,2011,19355
3459,2012,19914
3459,2013,20300
3459,2014,20805
3459,2015,21205
3459,2016,21663
3459,2017,22516
3459,2018,23432
3459,2019,23721
3459,2020,23804
3460,2001,16255
3460,2002,15884
3460,2003,16557
3460,2004,16885
3460,2005,17449
3460,2006,18104
3460,2007,18475
3460,2008,18815
3460,2009,18763
3460,2010,19053
3460,2011,19939
3460,2012,20264
3460,2013,20536
3460,2014,20917
3460,2015,21323
3460,2016,21749
3460,2017,22864
3460,2018,23364
3460,2019,24081
3460,2020,23700
3461,2001,14830
3461,2002,14772
3461,2003,15108
3461,2004,15363
3461,2005,15726
3461,2006,16136
3461,2007,16478
3461,2008,16993
3461,2009,17147
3461,2010,17668
3461,2011,18492
3461,2012,19044
3461,2013,19338
3461,2014,19720
3461,2015,20027
3461,2016,20631
3461,2017,21267
3461,2018,21957
3461,2019,22779
3461,2020,23132
3462,2001,13705
3462,2002,13595
3462,2003,14036
3462,2004,14350
3462,2005,14837
3462,2006,15406
3462,2007,15777
3462,2008,16229
3462,2009,16174
3462,2010,16466
3462,2011,17355
3462,2012,18006
3462,2013,18585
3462,2014,19048
3462,2015,19359
3462,2016,20012
3462,2017,20957
3462,2018,21853
3462,2019,22230
3462,2020,22327
4011,2001,17203
4011,2002,17071
4011,2003,17323
4011,2004,16938
4011,2005,18042
4011,2006,18433
4011,2007,18965
4011,2008,19878
4011,2009,19019
4011,2010,18925
4011,2011,19305
4011,2012,19739
4011,2013,19977
4011,2014,20263
4011,2015,20408
4011,2016,20755
4011,2017,21497
4011,2018,22343
4011,2019,22588
4011,2020,22866
