county,year,Arbeitslosenquote_inkar
3101,2009,9.29
3101,2010,8.87
3101,2011,8.08
3101,2012,7.43
3101,2013,7.1
3101,2014,6.84
3101,2015,6.48
3101,2016,6.07
3101,2017,5.83
3101,2018,5.33
3101,2019,4.89
3101,2020,5.36
3101,1995,
3101,1996,
3101,1997,
3102,1998,16.26
3102,1999,14.56
3102,2000,12.95
3102,2001,12.32
3102,2002,11.93
3102,2003,12.31
3102,2004,12.44
3102,2005,14.37
3102,2006,14.1
3102,2007,11.57
3102,2008,9.63
3102,2009,10.35
3102,2010,10
3102,2011,9.2
3102,2012,8.78
3102,2013,9.3
3102,2014,9.37
3102,2015,9.31
3102,2016,10.49
3102,2017,10.47
3102,2018,9.31
3102,2019,8.79
3102,2020,9.93
3102,1995,
3102,1996,
3102,1997,
3103,1998,14.85
3103,1999,12.26
3103,2000,10.25
3103,2001,8.76
3103,2002,8.42
3103,2003,8.31
3103,2004,8.18
3103,2005,10.79
3103,2006,10.39
3103,2007,8.99
3103,2008,6.99
3103,2009,6.61
3103,2010,6.53
3103,2011,5.72
3103,2012,5.07
3103,2013,4.9
3103,2014,4.77
3103,2015,4.69
3103,2016,5.02
3103,2017,4.93
3103,2018,4.77
3103,2019,4.51
3103,2020,5.15
3103,1995,
3103,1996,
3103,1997,
3151,1998,12.97
3151,1999,11.28
3151,2000,9.93
3151,2001,9.37
3151,2002,9.4
3151,2003,9.53
3151,2004,9.09
3151,2005,10.42
3151,2006,9.98
3151,2007,8.8
3151,2008,6.67
3151,2009,6.35
3151,2010,6.42
3151,2011,5.89
3151,2012,5.34
3151,2013,5.2
3151,2014,4.87
3151,2015,4.64
3151,2016,4.68
3151,2017,4.65
3151,2018,4.4
3151,2019,3.99
3151,2020,4.46
3151,1995,
3151,1996,
3151,1997,
3153,1998,13.09
3153,1999,12.62
3153,2000,12.06
3153,2001,11.65
3153,2002,11.37
3153,2003,11.02
3153,2004,10.64
3153,2005,13.31
3153,2006,12.34
3153,2007,10.44
3153,2008,9.71
3153,2009,10.19
3153,2010,9.79
3153,2011,9.53
3153,2012,9.09
3153,2013,8.8
3153,2014,8.64
3153,2015,7.88
3153,2016,7.62
3153,2017,7.15
3153,2018,6.43
3153,2019,5.91
