county,year,gdp_pc_ardeco
8221,1981,12796.89
8221,1982,14175.69
8221,1983,15775.73
8221,1984,16938.15
8221,1985,18033.76
8221,1986,19996.08
8221,1987,22171.51
8221,1988,23645.29
8221,1989,24791.99
8221,1990,27537.54
8221,1991,27051.92
8221,1992,30762.51
8221,1993,32637.1
8221,1994,35831.76
8221,1995,35654.17
8221,1996,36284.98
8221,1997,36565.92
8221,1998,38049.07
8221,1999,40663.74
8221,2000,43469.39
8221,2001,44428.79
8221,2002,44592.6
8221,2003,43829.27
8221,2004,42928.27
8221,2005,42863.82
8221,2006,46079.93
8221,2007,46561.99
8221,2008,48784.59
8221,2009,47677.38
8221,2010,48912.3
8221,2011,49133.97
8221,2012,52061.86
8221,2013,52137.48
8221,2014,53703.6
8221,2015,53510
8221,2016,53315.33
8221,2017,55665.17
8221,2018,56899.24
8221,2019,58885.16
8221,2020,58478.36
8221,2021,61643.09
8221,2022,65711.41
8221,2023,69290.73
8221,2024,71767.05
8222,1980,15190.62
8222,1981,15756.18
8222,1982,17525.42
8222,1983,19273.92
8222,1984,20663.32
8222,1985,21990.39
8222,1986,24434.98
8222,1987,25255.47
8222,1988,26731.49
8222,1989,27947.41
8222,1990,30856.38
8222,1991,30161.2
8222,1992,33920.1
8222,1993,35402.62
8222,1994,38474.12
8222,1995,40680.94
8222,1996,40450.99
8222,1997,39502.54
8222,1998,40311.08
8222,1999,42661.41
8222,2000,45618.42
8222,2001,47757.71
8222,2002,50933.57
8222,2003,52742.26
8222,2004,52149.36
8222,2005,52545.3
8222,2006,54164.18
8222,2007,56040.46
8222,2008,58083.84
8222,2009,54317.15
8222,2010,55416.21
8222,2011,57582.81
8222,2012,57441.89
8222,2013,59752.62
8222,2014,59942.03
8222,2015,61912.22
8222,2016,63036.43
8222,2017,66261.82
8222,2018,68471.52
8222,2019,68119.54
8222,2020,66104.19
8222,2021,69681.87
8222,2022,74280.69
8222,2023,78326.34
8222,2024,81125.6
8225,1980,8422.17
8225,1981,8771.87
8225,1982,9636.54
8225,1983,10556.76
8225,1984,11166.07
8225,1985,11759.63
8225,1986,12995.79
8225,1987,13207.38
8225,1988,14028.34
8225,1989,14607.26
8225,1990,15903.05
8225,1991,15437
8225,1992,17278.83
8225,1993,17850.81
8225,1994,19061.29
8225,1995,20615.77
8225,1996,20808.53
8225,1997,20297.8
8225,1998,20411
8225,1999,22078.1
8225,2000,20514.67
8225,2001,21490.28
8225,2002,21614.46
8225,2003,21296.84
