county,election_year,afd_local_vote_share,afd_local_ran,total_local_munis_cty,afd_local_ran_prop,total_local_eligible_voters_cty
9673,2013,,0,185,0,320436
9673,2021,,0,37,0,64429
9674,2013,,0,130,0,334032
9674,2021,,0,26,0,69238
9675,2013,,0,155,0,333659
9675,2021,0.0444849115504683,1,31,0.228683655872773,73066
9676,2013,,0,160,0,468912
9676,2021,,0,32,0,99975
9677,2013,,0,200,0,501069
9677,2021,,0,40,0,102794
9678,2013,,0,145,0,442223
9678,2021,,0,29,0,93088
9679,2013,,0,260,0,600483
9679,2021,,0,52,0,130841
9761,2013,0.0585444193006789,1,5,0.216140613108113,947337
9761,2021,0.0658878800008427,1,1,1,214110
9762,2013,,0,5,0,159938
9762,2021,0.0356870713741427,1,1,1,34068
9763,2013,,0,5,0,238998
9763,2021,0.0681323562069731,1,1,1,52821
9764,2013,,0,5,0,149413
9764,2021,0.0535334938393995,1,1,1,32235
9771,2013,,0,120,0,457239.31164472
9771,2021,,0,24,0,106257
9772,2013,,0,230,0,864555.68835528
9772,2021,0.0628802749560185,4,46,0.261066266757921,198712
9773,2013,,0,135,0,344477
9773,2021,0.0283095173901321,1,27,0.196417729204614,75762
9774,2013,,0,170,0,435084
9774,2021,,0,34,0,96729
9775,2013,,0,85,0,587692
9775,2021,,0,17,0,134658
9776,2013,,0,95,0,289968
9776,2021,0.019115292233787,1,19,0.30601000644587,65158
9777,2013,,0,225,0,490679
9777,2021,0.0413732394366197,1,45,0.0906145090928675,111406
9778,2013,,0,260,0,501230
9778,2021,0.0240174672489083,1,52,0.0996096460791117,115280
9779,2013,,0,220,0,483393
9779,2021,,0,44,0,106594
9780,2013,,0,140,0,558874
9780,2021,,0,28,0,125893
10041,2013,0.0515844071063119,5,50,0.157386442571732,1353236
10041,2017,0.0751870999516153,9,10,0.963875447004537,258107
10042,2013,0.0513553233180928,1,35,0.0580617695604401,420466
10042,2017,0.0640536329026021,4,7,0.646994740356344,85367
10043,2013,0.0895845875978326,1,35,0.0253731060899239,581403
10043,2017,0.0879901219342923,4,7,0.701513670536864,109469
10044,2013,0.0405738725082835,2,65,0.0539402560455192,826025
10044,2017,0.07829599402583,2,13,0.276858162934112,160212
10045,2013,0.0470217350226751,2,35,0.0847634407721843,610735
10045,2017,0.0933806581910579,4,7,0.726431305827308,117550
10046,2013,,0,40,0,379613
10046,2017,0.0611421268581422,1,8,0.292958594455543,73082
11000,2013,,0,6,0,14731551
11000,2017,0.141570687800466,1,1,1,2485379
11000,2021,0.0799884062044373,1,1,1,2447600
12051,2013,0.0580712594915306,1,5,0.188187210317931,328593
12051,2017,0.141576616474756,1,1,1,60651
12052,2013,0.0719679598887156,1,5,0.186550914488844,457414
12052,2017,0.222900957891739,1,1,1,81387
12053,2013,0.116490998813597,1,5,0.179385725764794,278768
12053,2017,0.187652339337733,1,1,1,48215
12054,2013,0.0451547304203062,1,5,0.218526773990231,609248
12054,2017,0.094758656954175,1,1,1,141443
12060,2013,,0,125,0,691440
12060,2017,0.138266609712122,6,25,0.791441567708068,156968
12061,2013,0.0513930740308301,4,185,0.0748294709501715,634496
12061,2017,0.134856323844969,12,37,0.702619284782334,142558
12062,2013,0.0632625456989991,4,165,0.0407489331103156,511768
12062,2017,0.148820507518017,11,33,0.645364597451884,88536
12063,2013,0.0951449308248963,2,130,0.070278955515176,594360
12063,2017,0.132708696338427,6,26,0.701130396732789,137120
12064,2013,0.0718975953755368,5,225,0.0376932533522832,755679
12064,2017,0.145626163790015,15,45,0.823719653738273,165424
12065,2013,,0,95,0,778850
12065,2017,0.145575062911326,11,19,0.830062078543581,179289
12066,2013,0.0926829268292683,1,125,0.00400867660506561,564276
12066,2017,0.178572493244617,9,25,0.807289493449053,95864
12067,2013,0.0752894145635816,4,185,0.0804158532993826,767386
12067,2017,0.178466027260355,6,37,0.444392190674008,153099
12068,2013,0.0470128742948069,1,115,0.011792175353177,441988
12068,2017,0.112193247005856,3,23,0.357504946322161,85417
12069,2013,0.0398317524825125,5,188,0.0774270931936358,771190
12069,2017,0.0894224455128453,9,38,0.614197547978552,180341
12070,2013,0.0321173671689136,1,130,0.00922657338196047,376196
12070,2017,0.108425043309753,6,26,0.541728684618045,66513
12071,2013,0.0828220858895705,1,144,0.00535241814605527,559747
12071,2017,0.238749281060854,11,29,0.742909864013799,99716
