county,isei_combined_2015
5915,0.0767823
5916,-0.2553407
5954,0.2386832
5958,-0.4016565
5962,-0.1538977
5966,-0.0859614
5970,0.0466204
5974,-0.3984542
5978,-0.0754923
6411,0.2608118
6412,0.1817348
6413,0.2001224
6414,0.3283129
6431,-0.0476507
6432,0.3736301
6433,-0.02631
6434,0.4287507
6435,-0.1173395
6436,0.1162522
6437,-0.3869002
6438,0.2597908
6439,0.30243
6440,0.2870896
6531,0.2420532
6532,-0.0989638
6533,0.0588647
6534,0.2234426
6535,-0.2806097
6611,0.2458209
6631,-0.2383788
6632,-0.4608287
6633,0.0602432
6634,0.0014942
6635,-0.5879245
6636,-0.6885669
7111,-0.4885601
7131,-0.0419366
7132,-0.3288309
7133,0.005098
7134,0.5565429
7135,-0.4879567
7137,-0.1802956
7138,-0.1442036
7140,-0.1523363
7141,-0.2322817
7143,-0.1678047
7211,-0.2125082
7231,-0.4914893
7232,-0.6627135
7233,1.075225
7235,-0.0276086
7311,-0.1460712
7312,-0.0270451
7313,0.3852658
7314,-0.5250183
7315,0.3876308
7316,0.2526837
7317,0.3693283
7318,-0.16318
7319,-0.3668321
7320,-0.3571098
7331,-0.5423609
7332,-0.3832104
7333,-0.2034412
7334,0.6640163
7335,-0.0883828
7336,-0.215284
7337,-0.5629292
7338,-0.1936259
7339,-0.1960464
7340,0.0979653
8111,0.3010568
8115,0.0276912
8116,0.1405858
8117,-0.1316136
8118,0.3292556
8119,0.0203044
8121,-0.5014341
8125,0.1500165
8126,-0.0834168
8127,0.2260017
8128,0.4802697
8135,0.1337857
8136,-0.0816957
8211,-0.5668916
8212,0.518571
8215,0.0653466
8216,-0.0175613
8221,0.9001834
8222,0.331801
8225,0.0372817
8226,0.2586505
8231,-0.3928267
8235,-0.2673201
8236,-0.191536
8237,-0.2895587
8311,0.4672864
8315,0.0543
8316,0.0856727
8317,-0.0212703
8325,-0.3991554
8326,-0.2784733
8327,-0.2107392
8335,0.3925548
8336,-0.1390682
8337,0.0344519
8415,-0.1648196
8416,0.2170126
8417,0.1338016
8421,0.4466689
8425,-0.4004047
8426,-0.1542983
8435,0.3854079
8436,0.2995627
8437,0.2312327
9161,0.4405389
9162,0.4266403
9163,0.1365441
9171,-0.0260958
9172,-0.5033222
9173,0.3341207
9174,0.1882789
9175,0.3479018
9176,0.2913817
9177,0.3500505
9178,-0.1960404
9179,0.1807067
